blood,Hemoglobin,#####,#####,####,####,####
blood,Hemoglobin,#####,#####,####,####,####
2021-04-25-22-41-40,50,1,0.4132907222121949,0.9412268158173085,0.46311049086369216,0.902002437889337
2021-04-25-22-42-52,50,1,0.33095913078120837,0.9623108239891478,0.5102663044974206,0.8810293554060062
2021-04-25-22-44-05,50,1,0.41761762923923934,0.9399897335097989,0.513399317459561,0.8795639211356355
2021-04-25-22-45-18,50,1,0.3088963846196005,0.967168285793253,0.5059475987137265,0.8830346804799465
2021-04-25-22-46-31,50,1,0.35482161074970275,0.9566800412605905,0.48965197875145966,0.8904478106274734
2021-04-25-22-47-43,50,1,0.3874255508959486,0.9483530800641157,0.5151412833523316,0.8787452544446572
2021-04-25-22-48-58,50,1,0.8030280057922965,0.7781143114619136,0.49941805428987646,0.8860342087432281
2021-04-25-22-50-11,50,1,0.5543073020737168,0.8942770902147444,0.5248256448560884,0.8741433610397386
2021-04-25-22-51-12,50,1,0.3794210823558093,0.9504651530673255,0.5279993645413292,0.872616600973952
2021-04-25-22-52-10,50,1,0.49357904313796025,0.9161735003696445,0.5360936436367418,0.8686810658015782
2021-04-25-22-53-05,50,1,0.3552707684330148,0.956570297056534,0.49242615033717446,0.8892029366402675
2021-04-25-22-54-00,50,1,0.3519568817956105,0.9573767235510917,0.49943926993613336,0.8860245258363003
2021-04-25-22-54-56,50,1,0.4929628311043558,0.916382677214062,0.5540665132394079,0.8597283713567494
2021-04-25-22-55-59,50,1,0.40148982731383154,0.9445352576502392,0.42609944703233027,0.91704014684201
2021-04-25-22-56-55,50,1,0.33760238668305126,0.9607825885553447,0.5132908967524742,0.8796147836342896
2021-04-25-22-57-48,50,1,0.36348520538894047,0.954538748643651,0.45799251399694924,0.9041564718745843
2021-04-25-22-58-44,50,1,0.5444097146848188,0.8980189120412145,0.42726838009961937,0.9165843493373228
2021-04-25-22-59-39,50,1,0.30200649626622555,0.9686165649010146,0.5671993372367005,0.852999956627716
2021-04-25-23-00-35,50,1,0.7596865285700996,0.8014194274641667,0.4745562352255065,0.8970985720492923
2021-04-25-23-01-30,50,1,0.5141161602603362,0.9090525726200996,0.48031584361603524,0.8945856201047051
2021-04-25-23-03-04,50,1,0.4064008444472937,0.9431700712569682,0.4880855557580203,0.89114761615847
2021-04-25-23-04-46,50,1,0.3536268034229257,0.9569712966817945,0.5227555979344272,0.8751342247816907
2021-04-25-23-06-28,50,1,0.2890557073462181,0.9712504530109058,0.5199907770522908,0.8764515461092587
2021-04-25-23-08-12,50,1,0.8195123362560363,0.7689111991060382,0.46485334980990867,0.9012634465865574
2021-04-25-23-10-01,50,1,0.4271190177275002,0.9372280346586483,0.4423349219473457,0.9105977416938239
2021-04-25-23-11-50,50,1,0.39194039005090037,0.947142338048504,0.5039080559790501,0.8839757856183804
2021-04-25-23-13-48,50,1,0.4593930702209792,0.9273832534012129,0.5293030081848373,0.8719867988344009
2021-04-25-23-15-45,50,1,0.7389410682285419,0.8121169869499593,0.4789178189769316,0.8951983728563697
2021-04-25-23-17-42,50,1,0.5433140334568817,0.8984289940721655,0.38888691314201046,0.9308976701258307
2021-04-25-23-19-36,50,1,0.39718513718072196,0.9457182443832204,0.5128598673441146,0.8798168826082462
2021-04-25-23-21-23,50,1,0.3112381155109168,0.9666686071514295,0.4883585487482442,0.8910258168236019
2021-04-25-23-23-10,50,1,0.4496557216343534,0.9304290143891856,0.4153907016253433,0.9211576473664206
2021-04-25-23-25-02,50,1,0.2901049009765891,0.9710413681592245,0.54637770107694,0.8635944734297979
2021-04-25-23-26-51,50,1,0.4264354120682479,0.9374288074135095,0.5480900697646026,0.8627381333156149
2021-04-25-23-28-41,50,1,0.36496717568841786,0.9541672916193976,0.5482103205345963,0.8626778962970716
2021-04-25-23-30-30,50,1,0.3001668164242244,0.9689977462671402,0.53187081874423,0.8707417237460047
2021-04-25-23-32-17,50,1,0.3592198491764914,0.9555994284643318,0.570101870534044,0.8514916183779543
2021-04-25-23-34-00,50,1,0.3398282354350033,0.9602637546097303,0.5492054435000233,0.8621789038444447
2021-04-25-23-35-44,50,1,0.40416550197247825,0.943793519703382,0.5019616603194957,0.8848703650199623
2021-04-25-23-37-26,50,1,0.6281962747445221,0.8642128661507942,0.5308124899636193,0.8712556141397543
2021-04-25-23-39-09,50,1,0.5755641842653562,0.8860129719686696,0.42253979536553954,0.9184204568776184
2021-04-25-23-40-52,50,1,0.3175861101589321,0.9652950911454025,0.5097168351989372,0.8812854394136079
2021-04-25-23-42-35,50,1,0.36403838242806097,0.9544002711698758,0.49433754580547506,0.8883411301736177
2021-04-25-23-44-17,50,1,0.4167818172145639,0.940229699961836,0.5191602697615426,0.8768458836850298
2021-04-25-23-45-59,50,1,0.36261977727899286,0.9547549698681518,0.5917452836032886,0.8400015984967522
2021-04-25-23-47-42,50,1,0.3700161602575034,0.95289041350254,0.5510141014163824,0.8612696569575274
2021-04-25-23-49-24,50,1,0.4257714011718932,0.9376235173505174,0.4846660469439596,0.8926675046129602
2021-04-25-23-51-06,50,1,0.9034289754870526,0.719161956303116,0.4775359169809741,0.8958023037489813
2021-04-25-23-52-47,50,1,0.46336305169003467,0.9261227520288,0.44784018563168254,0.9083585070515833
2021-04-25-23-54-28,50,1,0.3712716924493208,0.9525701682914076,0.4830803287905073,0.8933686911760463
2021-04-25-23-56-10,50,1,0.5228372834292896,0.9059408592460609,0.5367391756946795,0.8683646225059314
2021-04-25-23-57-54,50,1,0.6240397175968108,0.8660038342339806,0.45121605918253593,0.9069716903398293
2021-04-25-23-59-36,50,1,0.4136982482481795,0.9411108518711366,0.5337526736807707,0.869825427383814
2021-04-26-00-01-18,50,1,0.41426416641691216,0.9409496269520298,0.5012277388409617,0.8852067825093402
2021-04-26-00-03-01,50,1,0.2947013498652998,0.9701164520376316,0.5181985571309082,0.8773017320065908
2021-04-26-00-04-47,50,1,0.35821244984438083,0.9558481139802449,0.5608501803501907,0.8562725365088869
2021-04-26-00-06-30,50,1,0.5208513873214289,0.9066540330821188,0.4894921002832521,0.8905193397033436
2021-04-26-00-08-15,50,1,0.4144648454260618,0.9408924024003527,0.4984627992407705,0.8864697648078642
2021-04-26-00-09-58,50,1,0.5058587866613558,0.9119505790657229,0.5328633299728175,0.8702588621723157
2021-04-26-00-11-40,50,1,0.5014719324343876,0.9134711027510705,0.4907729346392614,0.889945642789359
2021-04-26-00-13-22,50,1,0.32982600156237324,0.9625684606188936,0.5328525942796223,0.8702640899556555
2021-04-26-00-15-03,50,1,0.37204378365090074,0.9523726943989925,0.5276434457715642,0.8727882786869687
2021-04-26-00-16-45,50,1,0.7645745362005905,0.7988557750652294,0.4666699323169574,0.9004902411923037
2021-04-26-00-18-27,50,1,0.3264345670857247,0.9633342822858593,0.48311577303582376,0.8933530432405153
2021-04-26-00-20-09,50,1,0.3831177709884995,0.9494952177856575,0.5483166541932784,0.8626246197450149
2021-04-26-00-21-51,50,1,0.45696047085397484,0.9281502643439751,0.4618135918726069,0.9025505359601005
2021-04-26-00-23-33,50,1,0.3645550756482726,0.9542707365250679,0.4752276352067893,0.8968071971420737
2021-04-26-00-25-14,50,1,0.33429118404839875,0.9615481043441637,0.5527578157444502,0.8603902281051107
2021-04-26-00-26-57,50,1,0.33892256775811935,0.9604752725130068,0.43199044652036545,0.9147303817928686
2021-04-26-00-28-39,50,1,0.5170240613875954,0.9080208444902722,0.5166963913016775,0.878012062042721
2021-04-26-00-30-21,50,1,0.34954588066168213,0.9579586856591235,0.46974652992491017,0.8991738475640216
2021-04-26-00-32-08,50,1,0.34677978435098455,0.9586214324113334,0.4894854091496503,0.8905223327842029
2021-04-26-00-33-49,50,1,0.35400634163629235,0.9568788839978238,0.4535594973323577,0.90600287637932
2021-04-26-00-35-31,50,1,0.5471458491614822,0.8969912479201085,0.3974569404810953,0.9278184499950748
2021-04-26-00-37-13,50,1,0.31099008624721486,0.9667217103307407,0.4757126582579222,0.8965964500151938
2021-04-26-00-38-56,50,1,0.5662738952790789,0.8896630458402766,0.5673882898373926,0.8529019992951671
2021-04-26-00-40-37,50,1,0.32683194057698167,0.9632449605420665,0.5452376204290144,0.8641631315302574
