yaopian,Hardness,#####,#####,####,####,####
yaopian,Hardness,#####,#####,####,####,####
2021-04-25-12-59-48,50,1,0.8022315839575027,0.4699393664658711,0.8588950109804834,0.40424737900253727
2021-04-25-13-02-08,50,1,1.0307255564978515,0.12499179062022148,0.8251302981320306,0.4501669134495492
2021-04-25-13-04-05,50,1,0.906918412997517,0.3225730382707058,0.867905410237315,0.3916821044408584
2021-04-25-13-05-53,50,1,1.21000027847089,-0.2058602503085214,0.8358683332996526,0.4357630200657985
2021-04-25-13-07-54,50,1,1.0443237846924824,0.10175175487336785,0.900260983994543,0.3454803955736
2021-04-25-13-09-54,50,1,0.8454542742078982,0.4112833928809294,0.9154109759088978,0.32326594434248446
2021-04-25-13-11-58,50,1,1.1508849152114704,-0.09091228982097888,0.9563944719409181,0.2613139187195327
2021-04-25-13-14-13,50,1,0.8630850736584911,0.3864736062440455,0.8410454172192137,0.4287519915695098
2021-04-25-13-16-17,50,1,0.9381478884890991,0.2751157732572098,0.9533711100302924,0.2659768176387812
2021-04-25-13-18-21,50,1,0.9270941443723328,0.29209706171797123,0.8536931113231537,0.41144188037412244
2021-04-25-13-20-21,50,1,0.7297606241091608,0.561381554368706,0.8746969435346564,0.3821244366271016
2021-04-25-13-22-19,50,1,1.2234291866003355,-0.23277469997410827,0.9300908666910365,0.3013871639483712
2021-04-25-13-24-14,50,1,0.7183870568047815,0.5749470477541272,0.9213737489467629,0.3144210563091432
2021-04-25-13-26-16,50,1,1.0550035968038798,0.08328588284659433,0.8287029582617617,0.44539525636362376
2021-04-25-13-28-24,50,1,0.8173482319572821,0.44977503188316603,0.8598932714564584,0.4028617337367597
2021-04-25-13-30-22,50,1,0.7735065458066344,0.5072189195476482,0.9095919819130909,0.3318421913986531
2021-04-25-13-32-19,50,1,1.1804506139030309,-0.14768229943987543,0.8539522731982343,0.411084480328474
2021-04-25-13-34-20,50,1,1.0311706868217567,0.1242358633249585,0.895781532394963,0.3519776109450091
2021-04-25-13-36-21,50,1,0.7661691850214348,0.5165234653359794,0.8755843377107411,0.3808701112068017
2021-04-25-13-38-29,50,1,1.0989266509480442,0.005365656628185889,0.9193193538834651,0.31747493055381715
2021-04-25-13-40-34,50,1,0.7293744145997364,0.5618456895492028,0.8816760181646395,0.3722252300611478
2021-04-25-13-42-40,50,1,0.8875791309709322,0.35115613335071794,0.8798025599699602,0.3748902911838933
2021-04-25-13-44-53,50,1,0.9737585955046504,0.2190402569222546,0.912978279857889,0.32685799383777414
2021-04-25-13-47-06,50,1,0.5646342393283322,0.7374207163407996,0.9217017592438327,0.3139328353640789
2021-04-25-13-49-14,50,1,0.8055919901484287,0.46548940544237605,0.8762428041010247,0.3799385515660828
2021-04-25-13-51-16,50,1,0.9021952766935344,0.3296106026022195,0.8936872835588118,0.3550040938062283
2021-04-25-13-53-24,50,1,1.022819530048925,0.13836354972940457,0.8448958401489527,0.4235095128641353
2021-04-25-13-55-39,50,1,1.0515767159609934,0.08923158382323304,0.8574275379449987,0.4062813972264617
2021-04-25-13-57-43,50,1,1.0294306366389816,0.12718898802962286,0.930195209677347,0.30123040627853326
2021-04-25-13-59-40,50,1,0.9546001750320793,0.24946826878298245,0.9048679308194578,0.3387644491349495
2021-04-25-14-01-47,50,1,0.7494690410059606,0.5373703808022128,0.8902946343334744,0.35989191385920916
2021-04-25-14-03-50,50,1,0.6661176977955916,0.634549985313889,0.9300662496289166,0.3014241443523479
2021-04-25-14-05-59,50,1,0.5149672316317357,0.7815836080204747,0.8916296966190843,0.35797069612421595
2021-04-25-14-07-56,50,1,0.820195536437355,0.44593484051569854,0.901737544807289,0.3433316174599069
2021-04-25-14-09-58,50,1,0.8299238595574836,0.43271338113707214,0.9043998765406817,0.33944833696755805
2021-04-25-14-11-55,50,1,0.8592013804515903,0.3919826515012208,0.8186940199768349,0.4587112039782184
2021-04-25-14-13-54,50,1,0.734249405518598,0.5559690464105078,0.9071553429935059,0.3354171540393376
2021-04-25-14-15-51,50,1,1.0946907455976618,0.013018682260830694,0.828237266872342,0.4460184038547078
2021-04-25-14-17-55,50,1,0.8657588204845335,0.3826664377189788,0.9213404488453103,0.31447061152134426
2021-04-25-14-19-55,50,1,0.872037962192238,0.37367921898021406,0.9488229564177196,0.27296357640638236
2021-04-25-14-22-01,50,1,0.7623668869677122,0.521310294058231,0.8884489099951969,0.36254325723806624
2021-04-25-14-24-08,50,1,1.0658419787408202,0.06435375024687728,0.841882237160684,0.4276146700165552
2021-04-25-14-26-05,50,1,0.7981790430354022,0.47528113264884564,0.9478269435077901,0.27448916678670476
2021-04-25-14-28-01,50,1,0.7685617182532788,0.5134992253185138,0.9455089626947488,0.278033408311095
2021-04-25-14-29-57,50,1,0.9365344405646108,0.277606973728016,0.8620591912258483,0.3998497728715492
2021-04-25-14-31-54,50,1,0.8692742369456035,0.3776428895065891,0.8512370774314615,0.4148235155920349
2021-04-25-14-33-48,50,1,1.2089604880129141,-0.20378867516638044,0.921556655824039,0.3141488333366781
2021-04-25-14-36-01,50,1,1.0365875793945374,0.11501065829030288,0.8752382965112177,0.3813593892904624
2021-04-25-14-38-02,50,1,0.6108067000412097,0.6927204745833972,0.9413564763047585,0.2843609490352531
2021-04-25-14-40-02,50,1,0.6290229117965881,0.6741190541133526,0.927821005783101,0.3047928934933374
2021-04-25-14-42-10,50,1,0.7646599225108092,0.5184263722093032,0.8951450594068536,0.35289815285024717
2021-04-25-14-44-13,50,1,0.9757169122796707,0.2158959367181974,0.8211093429022691,0.45551265667550744
